County,Public,Total Number,County (Centroid),Year
Baringo        ,TSC   ,5188,"(0.669252, 35.9464654)",12/31/2014 12:00:00 AM
Bomet          ,TSC   ,4787,"(-0.7262946, 35.2985976)",12/31/2014 12:00:00 AM
Bungoma        ,TSC   ,8327,"(0.7492852, 34.6404609)",12/31/2014 12:00:00 AM
Busia          ,TSC   ,4659,"(0.3874437, 34.1936315)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,TSC   ,3511,"(0.8022188, 35.5365631)",12/31/2014 12:00:00 AM
Embu           ,TSC   ,3684,"(-0.6039744, 37.6265013)",12/31/2014 12:00:00 AM
Garissa        ,TSC   ,902,"(-0.4889103, 40.1992785)",12/31/2014 12:00:00 AM
Homa Bay       ,TSC   ,6788,"(-0.5428094, 34.3589969)",12/31/2014 12:00:00 AM
Isiolo         ,TSC   ,834,"(1.0104431, 38.5421531)",12/31/2014 12:00:00 AM
Kajiado        ,TSC   ,2567,"(-2.1213836, 36.9088422)",12/31/2014 12:00:00 AM
Kakamega       ,TSC   ,10150,"(0.4036835, 34.7445112)",12/31/2014 12:00:00 AM
Kericho        ,TSC   ,4636,"(-0.2957329, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,TSC   ,6521,"(-1.0687061, 36.8235643)",12/31/2014 12:00:00 AM
Kilifi         ,TSC   ,5424,"(-3.175732, 39.6866876)",12/31/2014 12:00:00 AM
Kirinyaga      ,TSC   ,2646,"(-0.5247463, 37.3198681)",12/31/2014 12:00:00 AM
Kisii          ,TSC   ,7706,"(-0.7746038, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,TSC   ,5820,"(-0.1694587, 34.8352035)",12/31/2014 12:00:00 AM
Kitui          ,TSC   ,8581,"(-1.4910385, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,TSC   ,3456,"(-4.1831495, 39.1904119)",12/31/2014 12:00:00 AM
Laikipia       ,TSC   ,2314,"(0.3236041, 36.7717279)",12/31/2014 12:00:00 AM
Lamu           ,TSC   ,827,"(-2.0786825, 40.8828607)",12/31/2014 12:00:00 AM
Machakos       ,TSC   ,7778,"(-1.2795123, 37.412676)",12/31/2014 12:00:00 AM
Makueni        ,TSC   ,7466,"(-2.1576841, 37.7882456)",12/31/2014 12:00:00 AM
Mandera        ,TSC   ,1042,"(3.4364695, 40.7388102)",12/31/2014 12:00:00 AM
Marsabit       ,TSC   ,1157,"(2.9786588, 37.5695361)",12/31/2014 12:00:00 AM
Meru           ,TSC   ,7811,"(0.1667792, 37.7640371)",12/31/2014 12:00:00 AM
Migori         ,TSC   ,5548,"(-0.9895368, 34.3633453)",12/31/2014 12:00:00 AM
Mombasa        ,TSC   ,1644,"(-4.0212562, 39.6508827)",12/31/2014 12:00:00 AM
Muranga        ,TSC   ,5436,"(-0.8095905, 37.0327225)",12/31/2014 12:00:00 AM
Nairobi        ,TSC   ,4278,"(-1.2934135, 36.8681893)",12/31/2014 12:00:00 AM
Nakuru         ,TSC   ,7919,"(-0.4636754, 36.0784791)",12/31/2014 12:00:00 AM
Nandi          ,TSC   ,5373,"(0.1866889, 35.1104877)",12/31/2014 12:00:00 AM
Narok          ,TSC   ,4111,"(-1.2547903, 35.5763292)",12/31/2014 12:00:00 AM
Nyamira        ,TSC   ,3975,"(-0.6427324, 34.9646596)",12/31/2014 12:00:00 AM
Nyandarua      ,TSC   ,3368,"(-0.3220778, 36.4828692)",12/31/2014 12:00:00 AM
Nyeri          ,TSC   ,4070,"(-0.3429236, 36.9564781)",12/31/2014 12:00:00 AM
Samburu        ,TSC   ,1026,"(1.3168546, 37.1183941)",12/31/2014 12:00:00 AM
Siaya          ,TSC   ,5809,"(-0.0621299, 34.2476417)",12/31/2014 12:00:00 AM
Taita Taveta   ,TSC   ,1969,"(-3.434734, 38.418602)",12/31/2014 12:00:00 AM
Tana River     ,TSC   ,1162,"(-1.5263666, 39.4178692)",12/31/2014 12:00:00 AM
Tharaka-Nithi  ,TSC   ,3273,"(-0.2070612, 37.8702973)",12/31/2014 12:00:00 AM
Trans Nzoia    ,TSC   ,4344,"(1.0509548, 34.95742)",12/31/2014 12:00:00 AM
Turkana        ,TSC   ,1579,"(3.4248492, 35.4357585)",12/31/2014 12:00:00 AM
Uasin Gishu    ,TSC   ,4474,"(0.5260859, 35.3220117)",12/31/2014 12:00:00 AM
Vihiga         ,TSC   ,4020,"(0.0762658, 34.722323)",12/31/2014 12:00:00 AM
Wajir          ,TSC   ,938,"(1.8081376, 40.0349856)",12/31/2014 12:00:00 AM
West Pokot     ,TSC   ,2724,"(1.7401062, 35.2438468)",12/31/2014 12:00:00 AM
Kenya          ,TSC   ,201622,,12/31/2014 12:00:00 AM
               ,Public,,,12/31/2014 12:00:00 AM
Baringo        ,SMC   ,562,"(0.669252, 35.9464654)",12/31/2014 12:00:00 AM
Bomet          ,SMC   ,1706,"(-0.7262946, 35.2985976)",12/31/2014 12:00:00 AM
Bungoma        ,SMC   ,1593,"(0.7492852, 34.6404609)",12/31/2014 12:00:00 AM
Busia          ,SMC   ,978,"(0.3874437, 34.1936315)",12/31/2014 12:00:00 AM
Elgeyo Marakwet,SMC   ,718,"(0.8022188, 35.5365631)",12/31/2014 12:00:00 AM
Embu           ,SMC   ,546,"(-0.6039744, 37.6265013)",12/31/2014 12:00:00 AM
Garissa        ,SMC   ,213,"(-0.4889103, 40.1992785)",12/31/2014 12:00:00 AM
Homa Bay       ,SMC   ,1401,"(-0.5428094, 34.3589969)",12/31/2014 12:00:00 AM
Isiolo         ,SMC   ,99,"(1.0104431, 38.5421531)",12/31/2014 12:00:00 AM
Kajiado        ,SMC   ,1066,"(-2.1213836, 36.9088422)",12/31/2014 12:00:00 AM
Kakamega       ,SMC   ,2010,"(0.4036835, 34.7445112)",12/31/2014 12:00:00 AM
Kericho        ,SMC   ,1228,"(-0.2957329, 35.31407)",12/31/2014 12:00:00 AM
Kiambu         ,SMC   ,546,"(-1.0687061, 36.8235643)",12/31/2014 12:00:00 AM
Kilifi         ,SMC   ,950,"(-3.175732, 39.6866876)",12/31/2014 12:00:00 AM
Kirinyaga      ,SMC   ,178,"(-0.5247463, 37.3198681)",12/31/2014 12:00:00 AM
Kisii          ,SMC   ,917,"(-0.7746038, 34.774723)",12/31/2014 12:00:00 AM
Kisumu         ,SMC   ,1063,"(-0.1694587, 34.8352035)",12/31/2014 12:00:00 AM
Kitui          ,SMC   ,2634,"(-1.4910385, 38.406921)",12/31/2014 12:00:00 AM
Kwale          ,SMC   ,791,"(-4.1831495, 39.1904119)",12/31/2014 12:00:00 AM
Laikipia       ,SMC   ,338,"(0.3236041, 36.7717279)",12/31/2014 12:00:00 AM
Lamu           ,SMC   ,121,"(-2.0786825, 40.8828607)",12/31/2014 12:00:00 AM
Machakos       ,SMC   ,1358,"(-1.2795123, 37.412676)",12/31/2014 12:00:00 AM
